Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Dhanakāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Dilipika,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Gowla Kannada,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Hamsa ābheri,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Haridasapriya,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Harinārāyani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Hindustāni Kāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Huseni,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1
Jatādhāri,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Jayamanohari,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Jayanārāyani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Jayanthasena,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Kanadā,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Kāpi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Kāpijingala,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Kalānidhi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Kalika,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Kannadagowla,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
Karnātaka Hindolam,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Karnātaka Kāpi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Karnātaka Devagāndhari,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Karnaranjani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Kowmodaki,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Kowshika,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Lalitamanohari,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Mādhavamanohari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Mālavashree,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Māyapradeeptam,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Madhyamarāvali,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
Madhyamāvathi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Mahānandhi,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Mandāmari,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Mangalāvathi,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Manirangu,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Manjari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Manohari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Manorama,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Maruvadhanyāsi,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Mishra shivaranjani,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Mukhāri,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Nādachintāmani,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Nādatārangini,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Nādavarangini,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Nāgari,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Nāgavalli,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Nāyaki,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Nigamagāmini,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Nirmalāngi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Omkāri,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Panchamam,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Phalamanjari,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Phalaranjani,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Poornakalānidhi,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Pushpalathika,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
Ratipatipriya,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Reethigowla,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Rudrapriyā,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Sahāna (Original),1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Sālagabhairavi,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Saindhavi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Sangrama,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Sankrāndanapriyā,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Sarvachoodāmani,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Shivapriyā,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Shivaranjani,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Shree Manohari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Shree Manoranjani,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Shreeranjani,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Siddhasena,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Suddha Bangāla,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Suddha Bhairavi,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Suddha Dhanyāsi,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Suddha Hindolam (Varamu),1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Suddha Manohari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Suddha Velāvali,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Sugunabhooshani,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Swarabhooshani,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Swarakalānidhi,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
Swararanjani,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
Tavamukhāri,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Vajrakānti,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Gourimanohari,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
Gowrivelāvali,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
Gowrishankar,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
Hamsadeepika,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Hrudkamali,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Lavanthika,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Sundaramanohari,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Thyagaraja Mangalam,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Vasantashree (Amba Manohari),1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
Velāvali,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
Varuṇapriyā,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
Veeravasantham,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Māraranjani,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
Sharāvathi,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
Devasalaga,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
Kesari,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
Gayakamandini,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
Rājathilaka,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Chārukesi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0
Tarangini,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
Chirswaroopi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0
Māravi,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Poorvadhanyāsi,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Shiva Manohari,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Shukrajyothi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0
Ushābharanam,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Sarasāngi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
Sowrasenā,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Haripriya,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Srirangapriya,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
Kamalā Manohari,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Madhulika,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Nalinakānthi,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Neelamani,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
Salavi,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
Sarasānana,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
Saraseeruha,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
Simhavāhini,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
Surasena,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Vasanthi,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Harikāmbhōji,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Harikedāragowla,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Ambhojini,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
Andhali,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Aparoopam,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Bālahamsa,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Bahudāri,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Chāyalagakhamās,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Chāyatārangini,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
Chandrahasitham,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Dasharatipriya,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Dayaranjani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Deshākshi,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Dwaithachintāmani,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Dwijāvanthi /Jujāvanthi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Eeshamanohari,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Eeshaivaridhi,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Gāndhāralola,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Guhamanohari,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Guharanjani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Hamsaroopini,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Harikedāram,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Harini,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Harithapriya,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Hemasāranga,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Jaithshree,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Jana Sammodhini,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Jayarāma,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Jujahuli,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Kāmbhoji,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Kāpi Nārāyani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Kamās,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Karnātaka Behāg,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Karnātaka Devagāndhāri,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Karnātaka Khamās,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Kedāragowla,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Keshavapriyā,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Kokiladhwani,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Kokilavarāli,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Kunthalavarāli,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Mālavi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Madhurakokila,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Mahathi,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Mahuri,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Manjupriya,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Manoharam,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Mattakokila,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Meghana,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Mohanam,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Nādavalli,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Nāgaswarāvali,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Nārāyanagowla,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Nārāyani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Nāttai Kurinji,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Nāttai Nārāyani,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Narani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Navarasa Kalānidhi,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Navarasa kannada,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Neela,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Pārsi,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Parameshwarapriyā,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
Pashupathipriyā,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Poornakāmbhoji,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
Pratāpa Nāttai,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Pratāpavarāli,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Pravalajyoti,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Rāgapanjaramu,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Rāgavinodini,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
Rāgeshree,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Ravi Chandrikā,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
Sāvithri,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Sahāna,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Saraswathi Manohari,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
Sathvamanjari,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Shakunthala,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Shankaraharigowla,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Shenchukāmbhoji,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Chenjurutti,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Shiva Kāmbhoji,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Surutti,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Shyāmā,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Simhavikrama,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Sindhu Kannada,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Sindhu Surutti,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Suddha Khamās,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Suddha Varāli,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
Suddha,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Suddhatarangini,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Sumanapriyā,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Suposhini,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0
Suvarnakriyā,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
Swarāvali,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Swaravedi,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Tilakavathi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Umābharanam,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0
Vaishnavi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Veenavadini,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
Vivardhani,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Yadukula Kāmbhoji,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Dhīraśankarābharaṇam,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Ānandharoopa,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
Ārabhi,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Atāna,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Bangāla,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Begada,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Behāg ,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Behāg Deshikam,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
Bilahari,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Buddhamanohari,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Buddharanjani,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Chāyā,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Chāyashankarābharanam,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Devagāndhāri,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Dharmalakhi,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Dhurvanki,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Gajagowri,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Garudadhvani,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Gowdamalhār,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Hamsadhwani,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Hamsavinodhini,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
Jana Ranjani,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Julavu,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kamaripriyā,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
Kannada,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kathanakuthuhalam,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kedaram,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Kokilabhāshani,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kolahalam,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Kurinji,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kusumavichithra,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Kutuhala,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Lahari,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Māyadravila,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Mohanadhwani,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Nāgabhooshani,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Nāgadhwani,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Nārāyanadeshākshi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Navaroj,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Neelāmbari,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Niroshta,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Poornachandrika,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Poornagowla,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Poorvagowla,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Rathnabhooshani,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Reetuvilāsa,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Sāranga Mallār,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1
Shankara,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Shankaramohana,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
Shankari,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Sindhu,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Sindhu Mandāri,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Suddha Mālavi,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Suddha Sārang,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Suddha Sāveri,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
Suddha Vasantha,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Suranandini,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
Suraranjani,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
Tāndavam,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
Vallabhi,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Vasanthamalai,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Vedhāndhagamana,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Veerapratāpa,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Vilāsini,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
Nāganandini,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
Nāgabharanam,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
Gambheeravani,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Lalithagāndharva,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
Sāmanta,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
Yāgapriyā,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
Kalāvathi,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
Damarugapriya,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
Desharanjani,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0
Deshyathodi,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Kalāhamsa,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0
Niranjani,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Prathāpahamsi,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
Rāgavardhini,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
Rāgachoodāmani,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
Amudagāndhāri,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Dhowmya,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
Hindoladarbār,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Ramyā,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
Sāmantajingala,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0
Gāngeyabhuśani,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1
Gangātarangini,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1
Vāgadhīśvari,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
Amarasindhu,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
Bhogachāyā Nāttai,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
Bhānumanjari,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0
Chāyanāttai,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
Maghathi,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
Drāvida Kalāvati,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
