Time_sec,Freq_Hz,Swara
0.0,0.0,Sa
1.39,288.2,Ga2
1.42,131.0,Sa
1.56,576.4,Sa_high
1.76,157.2,Sa
3.04,602.6,Sa_high
3.07,183.4,Sa
3.58,393.0,Da2
3.62,183.4,Sa
4.11,393.0,Da2
4.13,183.4,Sa
5.32,812.19,Sa_high
5.46,157.2,Sa
5.62,628.79,Sa_high
5.64,52.4,Sa
5.71,602.6,Sa_high
5.76,131.0,Sa
7.89,471.6,Sa_high
7.92,157.2,Sa
8.45,524.0,Sa_high
8.5,157.2,Sa
8.96,969.39,Sa_high
9.08,157.2,Sa
9.22,969.39,Sa_high
9.5,209.6,Sa
9.71,602.6,Sa_high
9.82,209.6,Sa
10.03,576.4,Sa_high
10.05,393.0,Da2
10.08,209.6,Sa
10.1,576.4,Sa_high
10.31,157.2,Sa
10.43,393.0,Da2
10.59,183.4,Sa
10.68,602.6,Sa_high
10.7,183.4,Sa
10.91,602.6,Sa_high
10.96,183.4,Sa
11.12,419.2,Ni2
11.22,183.4,Sa
11.47,524.0,Sa_high
11.63,183.4,Sa
11.73,314.4,Ma1
11.77,183.4,Sa
12.03,524.0,Sa_high
12.07,78.6,Sa
12.19,628.79,Sa_high
12.24,157.2,Sa
12.31,628.79,Sa_high
12.54,183.4,Sa
12.68,602.6,Sa_high
12.72,183.4,Sa
12.79,628.79,Sa_high
12.82,209.6,Sa
13.0,262.0,Ri1
13.03,235.8,Sa
13.65,602.6,Sa_high
13.7,235.8,Sa
13.79,471.6,Sa_high
13.86,104.8,Sa
14.3,288.2,Ga2
14.33,157.2,Sa
14.86,393.0,Da2
14.88,157.2,Sa
17.48,812.19,Sa_high
17.55,131.0,Sa
17.9,628.79,Sa_high
17.93,131.0,Sa
18.13,812.19,Sa_high
18.18,131.0,Sa
18.27,628.79,Sa_high
18.51,393.0,Da2
18.58,812.19,Sa_high
18.6,393.0,Da2
18.83,340.6,Ma2
19.04,419.2,Ni2
19.37,393.0,Da2
19.88,131.0,Sa
19.9,393.0,Da2
22.62,812.19,Sa_high
22.69,393.0,Da2
22.71,812.19,Sa_high
22.73,262.0,Ri1
22.8,340.6,Ma2
22.83,157.2,Sa
22.92,340.6,Ma2
23.08,314.4,Ma1
23.13,628.79,Sa_high
23.24,262.0,Ri1
23.27,314.4,Ma1
23.34,393.0,Da2
23.5,419.2,Ni2
23.55,393.0,Da2
23.59,366.8,Pa
23.64,393.0,Da2
23.71,340.6,Ma2
26.42,209.6,Sa
27.07,314.4,Ma1
27.28,183.4,Sa
27.31,628.79,Sa_high
27.54,288.2,Ga2
27.61,314.4,Ma1
27.63,707.39,Sa_high
27.65,340.6,Ma2
27.89,314.4,Ma1
27.93,288.2,Ga2
27.96,628.79,Sa_high
27.98,314.4,Ma1
28.12,288.2,Ga2
28.19,628.79,Sa_high
28.35,314.4,Ma1
28.4,628.79,Sa_high
28.56,314.4,Ma1
28.63,628.79,Sa_high
28.7,314.4,Ma1
28.86,628.79,Sa_high
29.68,314.4,Ma1
29.72,288.2,Ga2
29.74,314.4,Ma1
29.77,628.79,Sa_high
30.14,314.4,Ma1
30.49,628.79,Sa_high
30.53,288.2,Ga2
30.56,183.4,Sa
30.6,628.79,Sa_high
30.65,314.4,Ma1
30.67,288.2,Ga2
30.74,314.4,Ma1
30.84,288.2,Ga2
30.86,314.4,Ma1
30.93,288.2,Ga2
30.95,314.4,Ma1
30.98,183.4,Sa
31.25,812.19,Sa_high
31.3,131.0,Sa
31.42,314.4,Ma1
31.46,628.79,Sa_high
31.7,340.6,Ma2
32.0,393.0,Da2
32.25,131.0,Sa
32.53,393.0,Da2
32.58,576.4,Sa_high
32.79,183.4,Sa
33.18,366.8,Pa
33.23,393.0,Da2
33.27,419.2,Ni2
33.39,393.0,Da2
33.46,183.4,Sa
33.48,393.0,Da2
33.51,104.8,Sa
33.95,602.6,Sa_high
34.13,183.4,Sa
34.2,576.4,Sa_high
34.37,183.4,Sa
34.39,576.4,Sa_high
35.11,104.8,Sa
36.43,890.79,Sa_high
36.48,131.0,Sa
37.92,471.6,Sa_high
37.96,131.0,Sa
38.57,602.6,Sa_high
38.61,131.0,Sa
41.03,602.6,Sa_high
41.1,183.4,Sa
45.0,628.79,Sa_high
45.02,104.8,Sa
48.65,471.6,Sa_high
48.69,131.0,Sa
49.6,471.6,Sa_high
49.62,209.6,Sa
49.64,707.39,Sa_high
49.74,209.6,Sa
49.76,707.39,Sa_high
50.39,209.6,Sa
50.53,707.39,Sa_high
50.64,104.8,Sa
51.18,445.4,Ni3
51.22,209.6,Sa
51.39,681.19,Sa_high
51.41,209.6,Sa
51.53,471.6,Sa_high
51.55,209.6,Sa
51.57,471.6,Sa_high
51.59,209.6,Sa
52.55,1663.33,Sa_high
52.57,183.4,Sa
53.38,628.79,Sa_high
53.66,183.4,Sa
53.68,602.6,Sa_high
53.78,183.4,Sa
53.92,393.0,Da2
53.99,419.2,Ni2
54.01,393.0,Da2
54.08,419.2,Ni2
54.17,393.0,Da2
54.24,419.2,Ni2
54.33,393.0,Da2
54.36,419.2,Ni2
54.4,104.8,Sa
54.47,393.0,Da2
54.5,183.4,Sa
54.52,419.2,Ni2
54.57,393.0,Da2
54.64,419.2,Ni2
54.66,393.0,Da2
54.68,1618.99,Sa_high
54.73,419.2,Ni2
54.78,393.0,Da2
54.85,419.2,Ni2
54.87,209.6,Sa
54.98,628.79,Sa_high
55.1,209.6,Sa
55.33,628.79,Sa_high
55.45,104.8,Sa
55.47,262.0,Ri1
55.52,235.8,Sa
55.54,471.6,Sa_high
55.57,445.4,Ni3
55.59,471.6,Sa_high
55.66,209.6,Sa
55.75,445.4,Ni3
55.77,419.2,Ni2
55.8,393.0,Da2
56.54,104.8,Sa
56.82,340.6,Ma2
56.87,157.2,Sa
56.89,340.6,Ma2
56.94,157.2,Sa
56.96,340.6,Ma2
56.98,157.2,Sa
58.21,576.4,Sa_high
58.31,183.4,Sa
58.33,602.6,Sa_high
58.4,183.4,Sa
58.61,524.0,Sa_high
58.68,157.2,Sa
58.86,366.8,Pa
58.91,393.0,Da2
58.96,419.2,Ni2
59.0,183.4,Sa
60.02,602.6,Sa_high
60.07,183.4,Sa
60.09,602.6,Sa_high
60.12,183.4,Sa
60.16,576.4,Sa_high
60.28,183.4,Sa
60.37,602.6,Sa_high
60.44,183.4,Sa
60.53,602.6,Sa_high
60.63,183.4,Sa
60.65,576.4,Sa_high
60.88,157.2,Sa
62.18,890.79,Sa_high
62.25,104.8,Sa
65.67,890.79,Sa_high
72.1,157.2,Sa
72.17,524.0,Sa_high
72.19,104.8,Sa
72.24,602.6,Sa_high
73.38,104.8,Sa
73.68,812.19,Sa_high
74.21,131.0,Sa
74.28,943.19,Sa_high
75.05,288.2,Ga2
75.07,969.39,Sa_high
75.28,314.4,Ma1
75.3,969.39,Sa_high
76.37,262.0,Ri1
76.39,471.6,Sa_high
76.53,131.0,Sa
76.6,471.6,Sa_high
77.18,262.0,Ri1
77.21,288.2,Ga2
77.3,131.0,Sa
77.35,314.4,Ma1
77.48,471.6,Sa_high
78.51,262.0,Ri1
78.53,288.2,Ga2
78.6,943.19,Sa_high
79.46,314.4,Ma1
79.48,969.39,Sa_high
79.55,314.4,Ma1
79.6,969.39,Sa_high
80.99,314.4,Ma1
81.01,864.59,Sa_high
81.5,288.2,Ga2
81.59,314.4,Ma1
81.76,628.79,Sa_high
82.55,445.4,Ni3
82.57,864.59,Sa_high
82.64,419.2,Ni2
82.8,262.0,Ri1
82.85,288.2,Ga2
82.87,943.19,Sa_high
83.73,314.4,Ma1
83.8,969.39,Sa_high
83.82,314.4,Ma1
83.87,969.39,Sa_high
84.94,288.2,Ga2
84.99,812.19,Sa_high
85.77,288.2,Ga2
85.8,864.59,Sa_high
85.96,314.4,Ma1
85.98,890.79,Sa_high
86.54,209.6,Sa
86.56,812.19,Sa_high
88.03,314.4,Ma1
88.05,969.39,Sa_high
88.14,314.4,Ma1
88.17,969.39,Sa_high
91.44,131.0,Sa
91.49,393.0,Da2
91.51,1269.51,Sa_high
91.65,393.0,Da2
91.77,366.8,Pa
91.81,812.19,Sa_high
91.88,393.0,Da2
92.02,1269.51,Sa_high
92.09,393.0,Da2
92.16,1304.27,Sa_high
93.69,104.8,Sa
93.99,969.39,Sa_high
94.04,104.8,Sa
94.06,1079.51,Sa_high
95.36,419.2,Ni2
95.64,864.59,Sa_high
95.67,393.0,Da2
96.04,1269.51,Sa_high
96.13,393.0,Da2
96.18,1269.51,Sa_high
97.9,393.0,Da2
97.92,812.19,Sa_high
99.64,419.2,Ni2
99.8,864.59,Sa_high
99.85,419.2,Ni2
99.89,104.8,Sa
100.15,812.19,Sa_high
100.19,78.6,Sa
100.61,576.4,Sa_high
100.73,183.4,Sa
100.87,419.2,Ni2
100.89,393.0,Da2
100.91,366.8,Pa
100.94,393.0,Da2
100.98,419.2,Ni2
101.22,183.4,Sa
101.26,262.0,Ri1
101.31,235.8,Sa
101.52,262.0,Ri1
101.56,104.8,Sa
101.66,707.39,Sa_high
101.7,209.6,Sa
102.26,654.99,Sa_high
102.28,131.0,Sa
102.54,524.0,Sa_high
102.59,157.2,Sa
103.1,314.4,Ma1
103.14,131.0,Sa
103.24,314.4,Ma1
103.26,131.0,Sa
103.54,314.4,Ma1
103.68,131.0,Sa
104.35,419.2,Ni2
104.4,314.4,Ma1
104.44,209.6,Sa
105.07,524.0,Sa_high
105.12,78.6,Sa
105.14,419.2,Ni2
105.16,104.8,Sa
105.3,1663.33,Sa_high
105.4,78.6,Sa
105.74,262.0,Ri1
105.84,104.8,Sa
106.63,288.2,Ga2
106.79,131.0,Sa
106.84,314.4,Ma1
106.88,131.0,Sa
107.28,314.4,Ma1
107.37,131.0,Sa
108.2,314.4,Ma1
108.23,131.0,Sa
108.44,288.2,Ga2
108.46,131.0,Sa
108.97,393.0,Da2
109.02,104.8,Sa
109.18,393.0,Da2
109.2,183.4,Sa
109.46,445.4,Ni3
109.48,419.2,Ni2
109.53,393.0,Da2
109.57,419.2,Ni2
109.85,209.6,Sa
109.9,262.0,Ri1
109.97,235.8,Sa
110.36,707.39,Sa_high
110.39,209.6,Sa
110.88,314.4,Ma1
110.94,157.2,Sa
111.01,340.6,Ma2
111.06,157.2,Sa
111.18,340.6,Ma2
111.22,131.0,Sa
111.39,314.4,Ma1
111.41,131.0,Sa
111.71,393.0,Da2
111.76,131.0,Sa
111.78,1663.33,Sa_high
111.83,157.2,Sa
112.01,314.4,Ma1
112.29,104.8,Sa
112.36,471.6,Sa_high
112.38,78.6,Sa
112.94,419.2,Ni2
112.97,393.0,Da2
112.99,78.6,Sa
113.68,524.0,Sa_high
113.73,262.0,Ri1
113.75,104.8,Sa
113.8,262.0,Ri1
113.85,78.6,Sa
113.89,524.0,Sa_high
113.94,78.6,Sa
114.1,262.0,Ri1
114.13,78.6,Sa
114.31,262.0,Ri1
114.4,104.8,Sa
115.08,262.0,Ri1
115.1,288.2,Ga2
115.22,131.0,Sa
115.36,314.4,Ma1
115.52,157.2,Sa
115.8,314.4,Ma1
116.01,157.2,Sa
116.36,314.4,Ma1
116.4,131.0,Sa
116.98,288.2,Ga2
117.01,131.0,Sa
117.03,393.0,Da2
117.12,104.8,Sa
117.73,1202.72,Sa_high
117.77,183.4,Sa
118.0,707.39,Sa_high
118.33,235.8,Sa
118.35,262.0,Ri1
118.38,288.2,Ga2
118.44,262.0,Ri1
118.47,235.8,Sa
118.49,314.4,Ma1
118.68,288.2,Ga2
118.75,314.4,Ma1
118.77,78.6,Sa
118.79,628.79,Sa_high
119.0,288.2,Ga2
119.05,602.6,Sa_high
119.1,288.2,Ga2
119.72,262.0,Ri1
119.75,235.8,Sa
119.77,288.2,Ga2
119.79,628.79,Sa_high
120.07,288.2,Ga2
120.3,314.4,Ma1
120.33,340.6,Ma2
120.37,314.4,Ma1
120.47,733.59,Sa_high
120.51,314.4,Ma1
120.63,288.2,Ga2
120.88,104.8,Sa
120.95,288.2,Ga2
121.32,262.0,Ri1
121.44,104.8,Sa
121.67,288.2,Ga2
121.72,104.8,Sa
122.09,366.8,Pa
122.11,183.4,Sa
122.83,366.8,Pa
122.86,157.2,Sa
122.9,366.8,Pa
122.93,183.4,Sa
123.07,419.2,Ni2
123.09,183.4,Sa
123.16,419.2,Ni2
123.34,393.0,Da2
123.41,183.4,Sa
123.53,393.0,Da2
123.55,104.8,Sa
123.65,393.0,Da2
123.67,366.8,Pa
123.69,157.2,Sa
123.72,366.8,Pa
123.74,393.0,Da2
124.2,183.4,Sa
124.27,393.0,Da2
124.3,183.4,Sa
124.58,262.0,Ri1
124.62,235.8,Sa
124.69,262.0,Ri1
124.76,235.8,Sa
125.64,262.0,Ri1
125.67,235.8,Sa
125.97,524.0,Sa_high
125.99,104.8,Sa
126.18,524.0,Sa_high
126.22,104.8,Sa
126.6,471.6,Sa_high
126.99,209.6,Sa
127.06,471.6,Sa_high
127.15,235.8,Sa
127.2,262.0,Ri1
127.45,235.8,Sa
127.55,262.0,Ri1
127.62,785.99,Sa_high
127.69,235.8,Sa
127.78,785.99,Sa_high
127.8,235.8,Sa
128.43,262.0,Ri1
128.45,524.0,Sa_high
128.52,235.8,Sa
128.57,262.0,Ri1
128.64,235.8,Sa
128.87,288.2,Ga2
128.96,262.0,Ri1
129.01,288.2,Ga2
129.08,262.0,Ri1
129.13,235.8,Sa
129.15,262.0,Ri1
129.17,235.8,Sa
129.27,262.0,Ri1
129.45,235.8,Sa
129.47,262.0,Ri1
129.5,235.8,Sa
130.24,262.0,Ri1
130.26,104.8,Sa
130.57,288.2,Ga2
130.61,314.4,Ma1
130.64,340.6,Ma2
130.66,157.2,Sa
131.31,262.0,Ri1
131.36,393.0,Da2
131.38,157.2,Sa
132.1,314.4,Ma1
132.14,104.8,Sa
132.19,419.2,Ni2
132.21,183.4,Sa
132.24,366.8,Pa
132.26,183.4,Sa
132.4,419.2,Ni2
132.42,183.4,Sa
132.52,419.2,Ni2
132.56,183.4,Sa
133.05,393.0,Da2
133.07,183.4,Sa
133.12,393.0,Da2
133.21,183.4,Sa
133.28,393.0,Da2
133.35,183.4,Sa
133.42,393.0,Da2
133.45,183.4,Sa
134.03,1618.99,Sa_high
134.1,131.0,Sa
134.19,262.0,Ri1
134.28,104.8,Sa
134.35,393.0,Da2
134.56,183.4,Sa
134.79,393.0,Da2
134.82,262.0,Ri1
134.91,524.0,Sa_high
135.33,235.8,Sa
135.4,262.0,Ri1
135.42,524.0,Sa_high
135.58,262.0,Ri1
135.65,288.2,Ga2
135.93,78.6,Sa
135.95,314.4,Ma1
136.07,288.2,Ga2
136.14,262.0,Ri1
136.3,235.8,Sa
137.02,419.2,Ni2
137.04,628.79,Sa_high
137.44,183.4,Sa
138.11,262.0,Ri1
138.18,235.8,Sa
138.3,628.79,Sa_high
138.32,340.6,Ma2
138.34,235.8,Sa
138.62,419.2,Ni2
138.67,393.0,Da2
138.74,183.4,Sa
138.79,393.0,Da2
138.99,183.4,Sa
139.09,262.0,Ri1
139.11,288.2,Ga2
139.34,262.0,Ri1
139.37,288.2,Ga2
139.58,262.0,Ri1
139.62,602.6,Sa_high
139.71,288.2,Ga2
139.95,78.6,Sa
140.02,576.4,Sa_high
140.04,78.6,Sa
140.06,288.2,Ga2
140.09,262.0,Ri1
140.13,393.0,Da2
140.16,628.79,Sa_high
140.18,104.8,Sa
140.23,628.79,Sa_high
140.55,314.4,Ma1
140.57,288.2,Ga2
140.67,314.4,Ma1
140.71,104.8,Sa
140.74,314.4,Ma1
140.85,288.2,Ga2
140.88,314.4,Ma1
141.22,340.6,Ma2
141.25,707.39,Sa_high
141.36,340.6,Ma2
141.53,314.4,Ma1
141.57,340.6,Ma2
141.62,366.8,Pa
141.64,393.0,Da2
141.69,366.8,Pa
141.76,393.0,Da2
141.83,366.8,Pa
141.85,340.6,Ma2
141.99,314.4,Ma1
142.01,340.6,Ma2
142.29,366.8,Pa
142.32,104.8,Sa
142.36,340.6,Ma2
142.9,314.4,Ma1
143.03,288.2,Ga2
143.15,262.0,Ri1
143.2,340.6,Ma2
143.24,52.4,Sa
143.27,314.4,Ma1
143.34,52.4,Sa
143.87,393.0,Da2
143.96,183.4,Sa
143.99,602.6,Sa_high
144.17,183.4,Sa
144.22,576.4,Sa_high
144.24,157.2,Sa
144.57,366.8,Pa
144.61,393.0,Da2
144.64,419.2,Ni2
144.8,393.0,Da2
144.87,183.4,Sa
144.92,393.0,Da2
144.94,183.4,Sa
145.26,602.6,Sa_high
145.29,183.4,Sa
145.54,602.6,Sa_high
146.59,104.8,Sa
146.77,524.0,Sa_high
146.8,157.2,Sa
146.87,576.4,Sa_high
147.08,157.2,Sa
147.12,628.79,Sa_high
147.14,104.8,Sa
147.28,497.8,Sa_high
147.31,78.6,Sa
147.93,628.79,Sa_high
147.98,131.0,Sa
151.35,314.4,Ma1
151.44,1663.33,Sa_high
151.51,131.0,Sa
151.63,916.99,Sa_high
151.65,288.2,Ga2
151.74,812.19,Sa_high
151.77,393.0,Da2
151.86,288.2,Ga2
151.93,916.99,Sa_high
151.97,288.2,Ga2
152.11,916.99,Sa_high
152.16,393.0,Da2
152.21,288.2,Ga2
152.28,916.99,Sa_high
152.32,288.2,Ga2
152.39,393.0,Da2
152.42,916.99,Sa_high
152.44,393.0,Da2
152.51,916.99,Sa_high
152.53,366.8,Pa
